InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Len Swormstedt,0,3,23,0,1,0,0,0,1,0,0.043,0.043,0,1,0,1906,swormle01
FALSE,FALSE,Kip Young,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1979,youngki01
FALSE,TRUE,Joe Boley,1,6,1780,203,478,88,22,7,227,15,0.269,0.354,0,631,0,1932,boleyjo01
FALSE,FALSE,Sam Dodge,0,2,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1922,dodgesa01
FALSE,FALSE,Gil Heredia,0,10,89,3,19,1,0,0,3,0,0.213,0.225,0,20,0,2001,heredgi01
FALSE,FALSE,Norm McMillan,1,5,1356,157,353,74,16,6,147,36,0.260,0.352,0,477,0,1929,mcmilno01
FALSE,FALSE,John Miller,0,5,73,3,7,0,0,0,1,0,0.096,0.096,0,7,0,1967,millejo03
FALSE,FALSE,Stephen Nogosek,0,4,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2023,nogosst01
FALSE,FALSE,Yohander Mendez,0,4,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2019,mendeyo01
FALSE,FALSE,J. C. Ramirez,0,6,4,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2019,ramirjc01
FALSE,FALSE,Duane Underwood,0,6,6,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2023,underdu01
FALSE,FALSE,Fred Zahner,1,2,98,14,21,1,2,0,10,2,0.214,0.265,0,26,0,1895,zahnefr01
FALSE,FALSE,Charlie Girard,0,1,8,1,1,1,0,0,0,0,0.125,0.250,0,2,0,1910,girarch01
FALSE,FALSE,Charlie Graham,1,1,90,10,21,1,0,1,12,1,0.233,0.278,0,25,0,1906,grahach01
FALSE,FALSE,Fred Lear,1,4,166,20,39,3,2,2,18,2,0.235,0.313,0,52,0,1920,learfr01
FALSE,FALSE,Paul Smith,1,1,44,5,10,0,1,0,1,3,0.227,0.273,0,12,0,1916,smithpa01
