InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Jimmie Savage,3,503,82,139,9,9,1,26,17,.276,.336,0,169,0,1915,savagji01
FALSE,FALSE,Greg Gagne,15,5673,712,1440,296,50,111,604,108,.254,.382,0,2169,0,1997,gagnegr01
FALSE,FALSE,Bill Wilson,4,654,87,145,23,1,32,77,2,.222,.407,0,266,0,1955,wilsobi02
FALSE,FALSE,Doc Edwards,5,906,69,216,33,0,15,87,1,.238,.325,0,294,0,1970,edwardo01
FALSE,FALSE,Rey Sanchez,15,4850,549,1317,193,32,15,389,55,.272,.334,0,1619,0,2005,sanchre01
FALSE,FALSE,Tom McCreery,9,2962,465,857,99,76,27,388,116,.289,.401,0,1189,0,1903,mccreto01
FALSE,FALSE,Henry Rodriguez,11,3031,389,784,176,9,160,523,10,.259,.481,1,1458,0,2002,rodrihe02
FALSE,FALSE,Ken Landreaux,11,4101,522,1099,180,45,91,479,145,.268,.400,1,1642,0,1987,landrke01
FALSE,FALSE,George Burns,16,6573,901,2018,444,72,72,951,154,.307,.429,0,2822,4,1929,burnsge02
FALSE,FALSE,Phil Powers,7,573,56,103,12,6,0,42,0,.180,.222,0,127,0,1885,powerph01
FALSE,FALSE,Danny Clark,3,582,75,161,36,8,5,93,5,.277,.392,0,228,0,1927,clarkda04
FALSE,FALSE,Tim Thompson,4,517,49,123,24,2,8,47,2,.238,.338,0,175,0,1958,thompti01
FALSE,FALSE,Kermit Wahl,5,642,58,145,23,6,3,50,3,.226,.294,0,189,0,1951,wahlke01
FALSE,FALSE,Thomas Burns,11,4645,870,1392,224,129,65,834,263,.300,.445,0,2069,0,1895,burnsoy01
FALSE,FALSE,Mike Fischlin,10,941,109,207,29,6,3,68,24,.220,.273,0,257,0,1987,fischmi01
FALSE,FALSE,Bill Skowron,14,5547,681,1566,243,53,211,888,16,.282,.459,6,2548,1,1967,skowrbi01
FALSE,FALSE,Felix Pie,6,993,132,244,45,13,17,99,21,.246,.369,0,366,0,2013,piefe01
FALSE,FALSE,George Watkins,7,3207,490,925,192,42,73,420,61,.288,.443,0,1420,0,1936,watkige01
FALSE,FALSE,John Anderson,14,6345,871,1843,328,124,50,978,338,.290,.405,0,2569,0,1908,anderjo01
FALSE,FALSE,Harry Lumley,7,2653,300,728,109,66,38,305,110,.274,.408,0,1083,0,1910,lumleha01
FALSE,FALSE,Jim Viox,5,1703,214,465,76,24,7,191,39,.273,.358,0,610,1,1916,vioxji01
FALSE,FALSE,Bobo Osborne,6,763,93,157,30,2,17,86,2,.206,.317,0,242,0,1963,osborbo02
FALSE,FALSE,Ferris Fain,9,3930,595,1139,213,30,48,570,46,.290,.396,5,1556,4,1955,fainfe01
FALSE,FALSE,Tony Smith,3,500,46,90,12,2,1,26,13,.180,.218,0,109,0,1911,smithto03
FALSE,FALSE,Jordany Valdespin,4,426,52,92,14,3,15,52,15,.216,.369,0,157,0,2015,valdejo02
FALSE,FALSE,Howie Schultz,6,1588,163,383,85,7,24,208,15,.241,.349,0,554,0,1948,schulho01
FALSE,FALSE,Butch Huskey,7,2078,259,555,98,4,86,336,21,.267,.442,0,919,0,2000,huskebu01
FALSE,FALSE,Chet Ross,6,1309,156,316,53,21,34,170,6,.241,.392,0,513,0,1944,rossch01
FALSE,FALSE,Howie Goss,2,522,56,113,24,2,11,54,9,.216,.333,0,174,0,1963,gossho01
FALSE,FALSE,Al Myers,8,3222,429,788,135,34,13,359,111,.245,.320,0,1030,0,1891,myersal01
FALSE,FALSE,Clarence Blair,3,890,138,243,48,16,10,96,11,.273,.397,0,353,0,1931,blairfo01
FALSE,FALSE,Tony Abreu,6,579,61,147,39,6,6,60,2,.254,.373,0,216,0,2014,abreuto01
FALSE,FALSE,Bob Robertson,11,2385,283,578,93,10,115,368,7,.242,.434,0,1036,0,1979,roberbo01
FALSE,FALSE,Ed Glenn,3,525,66,106,8,11,1,29,20,.202,.265,0,139,0,1888,glenned01
FALSE,FALSE,F. P. Santangelo,7,1691,258,415,87,14,21,162,37,.245,.351,0,593,0,2001,santafp01
FALSE,FALSE,Zack Taylor,16,2865,258,748,113,28,9,311,9,.261,.329,0,944,0,1935,tayloza02
FALSE,FALSE,Jerry Freeman,2,579,47,142,15,6,1,48,9,.245,.297,0,172,0,1909,freemje01
FALSE,FALSE,Topsy Hartsel,14,4848,826,1336,182,92,31,341,247,.276,.370,0,1795,0,1911,hartsto01
FALSE,FALSE,John Herrnstein,5,450,52,99,14,4,8,34,1,.220,.322,0,145,0,1966,herrnjo01
FALSE,FALSE,Bobby Smith,7,962,101,234,35,5,13,96,5,.243,.331,0,318,0,1965,smithbo04
FALSE,FALSE,Brad Fullmer,8,2789,395,778,203,16,114,442,32,.279,.486,0,1355,0,2004,fullmbr01
FALSE,FALSE,Dave Foutz,13,4537,784,1253,186,91,31,750,280,.276,.378,0,1714,0,1896,foutzda01
FALSE,FALSE,Koyie Hill,11,951,83,197,44,4,8,77,3,.207,.287,0,273,0,2014,hillko01
FALSE,FALSE,Dain Clay,4,1540,203,397,63,6,3,98,39,.258,.312,0,481,0,1946,clayda01
FALSE,FALSE,John Leary,2,760,54,196,38,7,0,60,11,.258,.326,0,248,0,1915,learyjo01
FALSE,FALSE,Jack Thoney,6,912,112,216,23,12,3,73,42,.237,.298,0,272,0,1911,thoneja01
FALSE,FALSE,Jeff Stone,8,941,129,261,23,18,11,72,75,.277,.375,0,353,0,1990,stoneje01
FALSE,FALSE,Al Weis,10,1578,195,346,45,11,7,115,55,.219,.275,0,434,1,1971,weisal01
FALSE,FALSE,Rudy Hulswitt,7,2230,208,564,64,32,3,203,49,.253,.314,0,701,0,1910,hulswru01
FALSE,FALSE,Cesar Izturis,13,4350,441,1103,177,34,17,312,110,.254,.322,1,1399,1,2013,izturce01
FALSE,FALSE,Lee Mazzilli,14,4124,571,1068,191,24,93,460,197,.259,.385,1,1586,0,1989,mazzile01
