InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Edward Beavens,2,58,13,15,2,0,0,7,2,.259,.293,0,0,0,0,0,17,0,1872,beaveed01
FALSE,FALSE,Heinz Becker,4,358,45,94,18,3,2,47,1,.263,.346,0,0,0,0,0,124,0,1947,beckehe02
FALSE,FALSE,Erve Beck,3,912,122,265,42,11,9,123,12,.291,.390,0,0,0,0,0,356,0,1902,becker01
FALSE,FALSE,Frank Beck,1,32,2,6,2,0,0,0,0,.188,.250,0,0,0,0,0,8,0,1884,beckfr01
FALSE,FALSE,Gordon Beckham,11,3403,420,807,187,7,80,351,35,.237,.367,0,0,0,0,0,1248,0,2019,beckhgo01
FALSE,FALSE,Tim Beckham,6,1614,201,402,75,15,63,198,13,.249,.431,0,0,0,0,0,696,0,2019,beckhti01
FALSE,FALSE,Howie Bedell,2,145,15,28,1,2,0,3,1,.193,.228,0,0,0,0,0,33,0,1968,bedelho01
FALSE,FALSE,Jodie Beeler,1,3,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,0,0,1944,beelejo01
FALSE,FALSE,Wayne Belardi,6,592,71,143,13,5,28,74,1,.242,.422,0,0,0,0,0,250,0,1956,belarwa01
FALSE,FALSE,Zeke Bella,2,92,10,18,2,1,1,9,0,.196,.272,0,0,0,0,0,25,0,1959,bellaze01
FALSE,FALSE,Beau Bell,7,2718,378,806,165,32,46,437,11,.297,.432,1,0,0,0,0,1173,0,1941,bellbe01
FALSE,TRUE,Buddy Bell,18,8995,1151,2514,425,56,201,1106,55,.279,.406,5,0,0,6,0,3654,11,1989,bellbu01
FALSE,FALSE,Derek Bell,11,4578,642,1262,232,15,134,668,170,.276,.421,0,0,0,0,0,1926,0,2001,bellde01
FALSE,FALSE,Mark Bellhorn,10,2107,324,484,113,13,69,246,30,.230,.394,0,0,0,0,0,830,0,2007,bellhma01
